"","establishment_name","type","naics1","seq_no","industry","description"
"63","Elite Home Health","Fat/Cat","621610",1808,"Home Health Care Services","This industry comprises establishments primarily engaged in providing skilled nursing services in the home, along with a range of the following: personal care services; homemaker and companion services; physical therapy; medical social services; medications; medical equipment and supplies; counseling; 24-hour home care; occupation and vocational therapy; dietary and nutritional services; speech therapy; audiology; and high-tech care, such as intravenous therapy.

Illustrative Examples:

Home health care agencies
Visiting nurse associations
Home infusion therapy services
In-home hospice care services


Cross-References."
"64","G & S Metal Buildings, Llc.","Fat/Cat","332999",684,"All Other Miscellaneous Fabricated Metal Product Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing fabricated metal products (except forgings and stampings, cutlery and handtools, architectural and structural metals, boilers, tanks, shipping containers, hardware, spring and wire products, machine shop products, turned products, screws, nuts and bolts, metal valves, ball and roller bearings, ammunition, small arms and other ordnances and accessories, and fabricated pipes and pipe fittings).

Illustrative Examples:

Foil containers (except bags) manufacturing
Industrial pattern manufacturing
Metal hair curlers manufacturing
Metal ironing boards manufacturing
Metal pallets manufacturing
Metal pipe hangers and supports manufacturing
Metal safes manufacturing
Metal vaults (except burial) manufacturing
Permanent metallic magnets manufacturing
Portable metal ladders manufacturing
Sanitary ware (e.g., bathtubs, lavatories, sinks), metal and enameled metal, manufacturing
Steel wool manufacturing 


Cross-References. Establishments primarily engaged in--"
"65","R L H Construction, Llc","Fat/Cat","236115",202,"New Single-Family Housing Construction (except For-Sale Builders)","This U.S. industry comprises general contractor establishments primarily responsible for the entire construction of new single-family housing, such as single-family detached houses and town houses or row houses where each housing unit (1) is separated from its neighbors by a ground-to-roof wall and (2) has no housing units constructed above or below.  This industry includes general contractors responsible for the on-site assembly of modular and prefabricated houses.  Single-family housing design-build firms and single-family construction management firms acting as general contractors are included in this industry.

Cross-References. Establishments primarily engaged in--"
"66","Tnt Cable Contractors, Inc.","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"67","U.S. Army Corps Of Engineers","Fat/Cat","221111",177,"Hydroelectric Power Generation","This U.S. industry comprises establishments primarily engaged in operating hydroelectric power generation facilities.  These facilities use water power to drive a turbine and produce electric energy.  The electric energy produced in these establishments is provided to electric power transmission systems or to electric power distribution systems.
"
"68","Raceway Operations, Inc.","Fat/Cat","711212",1877,"Racetracks","This U.S. industry comprises establishments primarily engaged in operating racetracks without casinos.  These establishments may also present and/or promote the events, such as auto, dog, and horse races, held in these facilities.

Cross-References."
"69","Adirondack Utility Construction Inc","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"70","Jerry Keith Ricketts","Fat/Cat","321912",427,"Cut Stock, Resawing Lumber, and Planing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing dimension lumber from purchased lumber; (2) manufacturing dimension stock (i.e., shapes) or cut stock; (3) resawing the output of sawmills; and (4) planing purchased lumber.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood.

Cross-References. Establishments primarily engaged in--"
"71","U.S. Department Of Agriculture","Fat/Cat","926140",2113,"Regulation of Agricultural Marketing and Commodities","This industry comprises government establishments primarily engaged in the planning, administration, and coordination of agricultural programs for production, marketing, and utilization, including educational and promotional activities.  Included in this industry are government establishments responsible for regulating and controlling the grading and inspection of food, plants, animals, and other agricultural products.

Cross-References. Government establishments primarily engaged in--"
"72","Delek Us","Fat/Cat","324110",466,"Petroleum Refineries","This industry comprises establishments primarily engaged in refining crude petroleum into refined petroleum.  Petroleum refining involves one or more of the following activities: (1) fractionation; (2) straight distillation of crude oil; and (3) cracking.

Cross-References. Establishments primarily engaged in--"
"73","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"74","Tyson Poultry, Inc","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"75","Tyson Poultry, Inc. - Dardanelle Plant","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"76","Hwy. 71 Trucking, Llc","Fat/Cat","484230",1241,"Specialized Freight (except Used Goods) Trucking, Long-Distance","This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.

Illustrative Examples:

Long-distance automobile carrier trucking
Long-distance refrigerated product trucking
Long-distance bulk liquid trucking
Long-distance trucking of waste
Long-distance hazardous material trucking


Cross-References. Establishments primarily engaged in--"
"77","U.S. Department Of Veterans Affairs","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
"78","Sonstegard Food Of Arkansas, Inc.","Fat/Cat","424440",1012,"Poultry and Poultry Product Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of poultry and/or poultry products (except canned and packaged frozen).

Cross-References. Establishments primarily engaged in--"
"79","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"80","Chc Manila Nursing Center, Llc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"81","Jamestown Health & Rehab, Llc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"82","U.S. Department Of Veterans Affairs","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
"83","Wrnc Inc.","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"84","St Bernards Medical Center","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
"85","Innisfree Health And Rehabilitation Llc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"86","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"87","Slr Health Services, Llc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"88","Arkansas Pik-A-Part Auto Salvage","Fat/Cat","423140",911,"Motor Vehicle Parts (Used) Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of used motor vehicle parts (except used tires and tubes) and establishments primarily engaged in dismantling motor vehicles for the purpose of selling the parts.

Cross-References. Establishments primarily engaged in--"
"89","U.S. Department Of Veterans Affairs","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
"90","Encore Healthcare, Llc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"91","Npc International, Inc.","Fat/Cat","722513",1955,"Limited-Service Restaurants","This U.S. industry comprises establishments primarily engaged in providing food services (except snack and nonalcoholic beverage bars) where patrons generally order or select items and pay before eating.  Food and drink may be consumed on premises, taken out, or delivered to the customer's location.  Some establishments in this industry may provide these food services in combination with selling alcoholic beverages.

Illustrative Examples:

Delicatessen restaurants
Pizza delivery shops
Family restaurants, limited-service
Takeout eating places
Fast-food restaurants
Fast casual restaurants
Takeout sandwich shops
Limited-service pizza parlors


Cross-References. Establishments primarily engaged in--"
"92","A & E Environmental Inc.","Fat/Cat","562119",1718,"Other Waste Collection","This U.S. industry comprises establishments primarily engaged in collecting and/or hauling waste (except nonhazardous solid waste and hazardous waste) within a local area.  Establishments engaged in brush or rubble removal services are included in this industry.

Cross-References. Establishments primarily engaged in--"
"93","Mitchell'S Nursing Home, Inc","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"94","Cando Rail Services Inc.","Fat/Cat","482112",1216,"Short Line Railroads","This U.S. industry comprises establishments known as short-line railroads primarily engaged in operating railroads for the transport of cargo over a short distance on local rail lines not part of a rail network.

Cross-References. Establishments primarily engaged in--"
"95","Mercy Hospital","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
"96","Pecan Grove Limited Partnership","Fat/Cat","531110",1495,"Lessors of Residential Buildings and Dwellings","This industry comprises establishments primarily engaged in acting as lessors of buildings used as residences or dwellings, such as single-family homes, apartment buildings, and town homes.  Included in this industry are owner-lessors and establishments renting real estate and then acting as lessors in subleasing it to others.  The establishments in this industry may manage the property themselves or have another establishment manage it for them.

Cross-References. Establishments primarily engaged in--"
"97","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"98","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"99","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"100","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"101","Tyson Foods, Inc. - Processing Plant","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"102","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"103","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"104","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"105","Tyson Poultry, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"106","Tyson Foods, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"107","Louis-Company, Llc","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"108","Manhattan Road & Bridge Company","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"109","Phoenix Fabricators & Erectors, Llc.","Fat/Cat","332420",650,"Metal Tank (Heavy Gauge) Manufacturing","This industry comprises establishments primarily engaged in cutting, forming, and joining heavy gauge metal to manufacture tanks, vessels, and other containers.

Cross-References. Establishments primarily engaged in--"
"110","J & J Lumber Company, Inc.","Fat/Cat","321113",416,"Sawmills","This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
"111","H&F Electric, Inc.","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"112","Cecil Simpson & Son Partnership","Fat/Cat","493130",1338,"Farm Product Warehousing and Storage","This industry comprises establishments primarily engaged in operating bulk farm product warehousing and storage facilities (except refrigerated).  Grain elevators primarily engaged in storage are included in this industry.

Cross-References. Establishments primarily engaged in--"
"113","Rose Aircraft Services, Inc.","Fat/Cat","488190",1295,"Other Support Activities for Air Transportation","This industry comprises establishments primarily engaged in providing specialized services for air transportation (except air traffic control and other airport operations).

Illustrative Examples:

Aircraft maintenance and repair services (except factory conversions, overhauls, rebuilding)
Aircraft passenger screening security services
Aircraft testing services


Cross-References. Establishments primarily engaged in--"
"114","Serenity Cemeteries Ii, Llc","Fat/Cat","812220",2000,"Cemeteries and Crematories","This industry comprises establishments primarily engaged in operating sites or structures reserved for the interment of human or animal remains and/or cremating the dead.

Illustrative Examples:

Cemetery associations (i.e., operators of cemeteries)
Memorial gardens (i.e., burial places)
Pet cemeteries
Crematories (except combined with funeral homes)
Mausoleums 


Cross-References."
"115","Arkansas Electric Cooperatives, Inc.","Fat/Cat","237130",218,"Power and Communication Line and Related Structures Construction","This industry comprises establishments primarily engaged in the construction of power lines and towers, power plants, and radio, television, and telecommunications transmitting/receiving towers.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to power and communication line and related structures construction.  All structures (including buildings) that are integral parts of power and communication networks (e.g., transmitting towers, substations, and power plants) are included.

Illustrative Examples:

Alternative energy (e.g., geothermal, ocean wave, solar, wind) structure construction
Power line stringing
Cellular phone tower construction
Radio transmitting tower construction
Co-generation plant construction
Satellite receiving station construction
Communication tower construction
Nuclear power plant construction
Telephone line stringing
Electric light and power plant (except hydroelectric) construction
Transformer station and substation, electric power, construction
Electric power transmission line and tower construction
Underground cable (e.g., fiber optic, electricity, telephone, cable television) laying


Cross-References. Establishments primarily engaged in--"
"116","Melvin B. Graham","Fat/Cat","484230",1241,"Specialized Freight (except Used Goods) Trucking, Long-Distance","This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.

Illustrative Examples:

Long-distance automobile carrier trucking
Long-distance refrigerated product trucking
Long-distance bulk liquid trucking
Long-distance trucking of waste
Long-distance hazardous material trucking


Cross-References. Establishments primarily engaged in--"
"117","Diamond State Heat And Air, Llc","Fat/Cat","238220",250,"Plumbing, Heating, and Air-Conditioning Contractors","This industry comprises establishments primarily engaged in installing and servicing plumbing, heating, and air-conditioning equipment.  Contractors in this industry may provide both parts and labor when performing work.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Cooling tower installation
Heating, ventilation, and air-conditioning (HVAC) contractors
Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation
Lawn sprinkler system installation
Fire sprinkler system installation
Mechanical contractors
Fireplace, natural gas, installation
Refrigeration system (e.g., commercial, industrial, scientific) installation
Furnace installation
Sewer hookup and connection, building


Cross-References. Establishments primarily engaged in--"
"118","Bunge North America - Huffman","Fat/Cat","424510",1025,"Grain and Field Bean Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of grains, such as corn, wheat, oats, barley, and unpolished rice; dry beans; and soybeans and other inedible beans.  Included in this industry are establishments primarily engaged in operating country or terminal grain elevators primarily for the purpose of wholesaling.

Cross-References. Establishments primarily engaged in--"
"119","L & L Construction Inc.","Fat/Cat","484220",1239,"Specialized Freight (except Used Goods) Trucking, Local","This industry comprises establishments primarily engaged in providing local, specialized trucking.  Local trucking establishments provide trucking within a metropolitan area that may cross state lines.  Generally the trips are same-day return.

Illustrative Examples:

Local agricultural products trucking
Local dump trucking (e.g., gravel, sand, top-soil)
Local boat hauling
Local livestock trucking
Local bulk liquids trucking


Cross-References. Establishments primarily engaged in--"
"120","Shawn Owens","Fat/Cat","484121",1233,"General Freight Trucking, Long-Distance, Truckload","This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.

Cross-References. Establishments primarily engaged in--"
"121","W.A.R. Farms","Fat/Cat","111998",55,"All Other Miscellaneous Crop Farming","This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3) gathering tea or maple sap.

Illustrative Examples:

Agave farming
Mint farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut combinations)
Hay seed farming
Grass seed farming
Hop farming
Spice farming


Cross-References. Establishments primarily engaged in--"
"122","White River Materials, Inc.","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"123","West Tree Service, Inc.","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"124","Pickens, R A & Son Company","Fat/Cat","111110",5,"Soybean Farming","This industry comprises establishments primarily engaged in growing soybeans and/or producing soybean seeds.

Cross-References."
"125","Af & G, Llc.","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
"126","Riceland Foods, Inc.","Fat/Cat","311212",280,"Rice Milling","This U.S. industry comprises establishments primarily engaged in one of the following: (1) milling rice; (2) cleaning and polishing rice; or (3) milling, cleaning, and polishing rice.  The establishments in this industry may package the rice they mill with other ingredients.

Cross-References. Establishments primarily engaged in--"
"127","Jb James Construction, Llc","Fat/Cat","237310",224,"Highway, Street, and Bridge Construction","This industry comprises establishments primarily engaged in the construction of highways (including elevated), streets, roads, airport runways, public sidewalks, or bridges.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to highway, street, and bridge construction (e.g., installing guardrails on highways).

Illustrative Examples:

Airport runway construction
Highway line painting
Causeway construction
Painting traffic lanes or parking lot lines
Culverts, highway, road, and street, construction
Pothole filling, highway, road, street, or bridge
Elevated highway construction
Resurfacing, highway, road, street, or bridge
Guardrail construction
Sign erection, highway, road, street, or bridge 


Cross-References. Establishments primarily engaged in--"
